Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsInPresentAPI,MsBetweenPresents,MsBetweenDisplayChange,MsUntilRenderComplete,MsUntilDisplayed
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.000,0.21,10,10.0,9.1,12.4
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.010,0.20,10,10.0,9.0,12.3
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.020,0.22,10,10.0,9.2,12.5
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.030,0.19,10,10.0,9.0,12.2
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.040,0.55,30,30.0,28.7,32.9
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.070,0.21,10,10.0,9.1,12.4
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.080,0.20,10,10.0,9.0,12.3
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.090,0.21,10,10.0,9.1,12.4
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.100,0.20,10,10.0,9.0,12.3
game.exe,1234,0x00000244B6D4E770,DXGI,0,0,1,Hardware: Independent Flip,0,0.110,0.21,10,10.0,9.1,12.4
